Cruise,Station,Deployment,Tube,Channel,Temperture
OR1_1126,GC1,1,9,1,17.96
OR1_1126,GS1,1,1,1,25.57
OR1_1126,GS4,1,6,1,22
OR1_1128,GC1,1,10,1,12.41
OR1_1128,GC1,1,2,1,12.64
OR1_1128,GC1,1,6,1,12.48
OR1_1128,GC1,1,8,1,12.57
OR1_1132,ST3,1,11,1,9.68
OR1_1132,ST3,1,2,1,11.13
OR1_1132,ST3,1,8,1,9.83
OR1_1132,ST3,1,9,1,10.82
OR1_1132,ST5,1,1,1,10.45
OR1_1132,ST5,1,3,1,9.87
OR1_1132,ST5,1,5,1,9.31
OR1_1138,GS5,1,2,1,11.46
OR1_1138,GS5,1,5,1,11.03
OR1_1138,GS5,1,8,1,12.85
OR1_1138,GS6,1,1,1,11.48
OR1_1138,GS6,1,3,1,12.05
OR1_1138,GS7,1,4,1,11.78
OR1_1138,GS7,1,9,1,12.03
OR1_1138,S27,1,12,1,10.73
OR1_1138,S27a,1,11,1,10.35
OR1_1151,GC1,2,3,1,12.36
OR1_1151,GC4,1,4,2,11.14
OR1_1151,GS1,1,8,2,13.32
OR1_1151,GS1,1,9,2,14.23
OR1_1151,GS3,1,1,2,12.24
OR1_1151,GS3,1,12,2,12
OR1_1169,GS10,1,2,1,11.4
OR1_1169,GS10,1,5,1,11.1
OR1_1169,GS10,1,7,1,10.1
OR1_1169,GS5,1,1,1,9.1
OR1_1169,GS5,7,10,1,10.2
OR1_1169,GS7,7,7,1,10.2
OR1_1169,GS7,7,8,1,10.9
OR1_1182,KS1,1,5,2,11
OR1_1182,KS3,1,3,2,11
OR1_1182,SC2a,3,9,3,11
OR1_1190,FC1,1,1,3,13
OR1_1190,FC2,2,5,3,13
OR1_1190,FC3,1,10,3,13
OR1_1190,FS2,2,8,3,13
OR1_1190,FS3,1,8,3,13
OR1_1190,FS5C,1,9,3,13
OR1_1190,GC1,1,11,2,13
OR1_1190,GC1,1,12,3,13
OR1_1190,GC6,2,10,3,13
OR1_1190,GS5,1,2,3,13
OR1_1190,GS6,1,7,3,13
OR1_1190,HC1,1,5,3,13
OR1_1219,GC1,1,2,1,24.2
OR1_1219,GC1,1,3,1,24.32
OR1_1219,GC1,1,4,1,24.32
OR1_1219,GS1,1,5,2,24.21
OR1_1219,GS1,1,6,2,24
OR1_1219,GS1,1,7,1,24.17
OR1_1219,S3,1,8,1,25
OR1_1219,S4,2,2,1,25.17
OR1_1219,S4,2,3,1,25.05
OR1_1219,S5,2,7,1,24.09
OR1_1219,S5,2,8,1,25.22
OR1_1219,S6,1,1,1,16.76
OR1_1219,S6,1,10,1,22.34
OR1_1219,S7,2,4,1,23.26
OR1_1219,S7,2,5,1,22.64
OR1_1242,S1,2,4,,25
OR1_1242,S1,2,6,,25.87
OR1_1242,S1,2,1,,24.97
OR1_1242,S2,6,6,,23.25
OR1_1242,S2,6,7,,23.15
OR1_1242,S2,6,12,,22.87
OR1_1242,GC1,1,3,,23.69
OR1_1242,GC1,1,6,,23.52
OR1_1242,GC1,1,12,,23
OR1_1242,S3,1,2,,24.5
OR1_1242,S3,1,4,,24.5
OR1_1242,S3,1,5,,24.5
OR1_1242,S5,1,7,,22
OR1_1242,S5,1,8,,21.5
OR1_1242,S5,1,9,,21.5
OR1_1242,GS1,2,4,,21.5
OR1_1242,GS1,2,7,,22.5
OR1_1242,GS1,2,11,,22.5
OR1_1242,S6,1,3,,24.4
OR1_1242,S6,1,6,,24.4
OR1_1242,S6,1,11,,24.4
OR1_1242,S7,2,2,,22.95
OR1_1242,S7,2,8,,22.24
OR1_1242,S7,2,10,,21.1
NOR1_T004,GC1,1,9,,11.88
NOR1_T004,GC1,1,10,,10.2
NOR1_T004,GC1,2,7,,10.59
NOR1_T004,M1,2,5,,8.81
NOR1_T004,M1,2,4,,9.76
NOR1_T004,M1,2,6,,10.07
NOR1_T007,L1,1,2,,24.68
NOR1_T007,L1,1,10,,24.39
NOR1_T007,L1,1,11,,24.02
NOR1_T011,GC1,2,1,,16.28
NOR1_T011,GC1,1,2,,17.7
NOR1_T011,GC1,1,3,,21.68
NOR1_T011,GC1,1,5,,15.05
NOR1_T011,GS1,1,3,,14.78
NOR1_T011,GS1,1,5,,15.01
NOR1_T011,GS1,1,11,,19.27
NOR1_T011,GS1,1,2,,14.45
NOR1_T011,L1,1,10,,20.75
NOR1_T011,L1,1,7,,20.68
NOR1_T011,L1,1,6,,23.61
NOR1_T011,L1,1,4,,20.1
NOR1_T011,G96,1,11,,14.95
